web-scraper-order,web-scraper-start-url,link,link-href,name,area
"1669949308-2088","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=e7V7-gEAAAAJ&hl=en&oi=ao","Mark Horowitz","arch,eda"
"1669949308-2089","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=SqMUez0AAAAJ&hl=en&oi=ao","Nick McKeown","networks"
"1669949308-2090","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=r70ags0AAAAJ&hl=en&oi=ao","Doug L. James","graphics"
"1669949308-2091","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=4arkOLcAAAAJ&hl=en&oi=ao","Oussama Khatib","robotics"
"1669949308-2092","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/m/Mazi=egrave=res:David","David Mazières","os,networks,security"
"1669949308-2093","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=kmeUhO8AAAAJ&hl=en&oi=ao","Nima Anari","theory"
"1669949308-2094","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=YZHj-Y4AAAAJ&hl=en&oi=ao","William J. Dally","arch,eda"
"1669949308-2095","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/l/Lam:Monica_S%3D","Monica S. Lam","nlp,hci"
"1669949308-2096","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=TD9RhcgAAAAJ&hl=en&oi=ao","Omer Reingold","theory"
"1669949308-2097","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ZZrSuh8AAAAJ&hl=en&oi=ao","Subhasish Mitra","eda"
"1669949308-2098","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=S5sz8gIAAAAJ&hl=en&oi=ao","Keith Winstein","networks"
"1669949308-2099","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=LiH53A8AAAAJ&hl=en&oi=ao","Mary Wootters","theory"
"1669949308-2100","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=T2vp1pgAAAAJ&hl=en&oi=ao","Anshul Kundaje","ml,comp. bio"
"1669949308-2101","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=fpT49d8AAAAJ&hl=en&oi=ao","Chris Piech","ml,ai"
"1669949308-2102","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=POWKkqEAAAAJ&hl=en&oi=ao","Serafim Batzoglou","comp. bio"
"1669949308-2103","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=1_kJPIEAAAAJ&hl=en&oi=ao","John C. Mitchell","hci"
"1669949308-2104","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/p/Prabhakar:Balaji","Balaji Prabhakar","networks"
"1669949308-2105","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=zdKmnYwAAAAJ&hl=en&oi=ao","Jennifer Widom","db"
"1669949308-2106","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=FmrDR68AAAAJ&hl=en&oi=ao","John Kenneth Salisbury Jr.","robotics"
"1669949308-2107","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=nDH-AqwAAAAJ&hl=en&oi=ao","John K. Ousterhout","networks,os"
"1669949308-2108","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=Bz-b2a0AAAAJ&hl=en&oi=ao","Dawson R. Engler","security"
"1669949308-2109","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=OoItXTkAAAAJ&hl=en&oi=ao","Ronald Fedkiw","graphics"
"1669949308-2110","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=bCCxZ28AAAAJ&hl=en&oi=ao","Fredrik Kjolstad","pl"
"1669949308-2111","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/r/Rosenblum:Mendel","Mendel Rosenblum","networks"
"1669949308-2112","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/c/Cheriton:David_R%3D","David R. Cheriton","arch"
"1669949308-2113","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=GTmdNU0AAAAJ&hl=en&oi=ao","Ron O. Dror",""
"1669949308-2114","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/s/Shoham:Yoav","Yoav Shoham","ai"
"1669949308-2115","https://csrankings.org/#/index?all&us","","https://scholar.google.com/citations?user=ZasL8IoAAAAJ&hl=en&oi=ao","Mehran Sahami","ml"
"1669949308-2116","https://csrankings.org/#/index?all&us","","https://dblp.org/pers/hd/b/Bejerano:Gill","Gill Bejerano",""
